"step_number","exclusion_rule","n_before","n_excluded","n_after","expected_n_after_from_v18e_if_known","match_status","notes"
1,"Downloaded and merged NHANES 2009-2014 public-use files",30468,0,30468,30468,"MATCH",""
2,"Age >=30 years",30468,15912,14556,14556,"MATCH",""
3,"Mortality linkage eligible",14556,35,14521,14521,"MATCH",""
4,"Dentate adults",14521,3111,11410,11410,"MATCH",""
5,"Complete periodontal examination data",11410,695,10715,10715,"MATCH",""
6,"CDC/AAP periodontitis computable",10715,0,10715,10715,"MATCH",""
7,"Serum uric acid available",10715,527,10188,10188,"MATCH",""
8,"MORTSTAT and PERMTH_EXM available",10188,0,10188,10188,"MATCH",""
9,"Core covariates complete",10188,1119,9069,8228,"MISMATCH","V18e expected public raw-only core complete N."
10,"Final Model 4 complete cases",9069,51,9018,8181,"MISMATCH","V18e expected public raw-only final analytic N."
