"variable","level","Normouricemia + none/mild periodontitis","Normouricemia + moderate/severe periodontitis","Hyperuricemia + none/mild periodontitis","Hyperuricemia + moderate/severe periodontitis"
"Unweighted N","","5382","2035","1083","518"
"Weighted %","","65.6%","17.4%","12.6%","4.3%"
"Age, years","Weighted mean +/- SE","48.8 +/- 0.3","55.5 +/- 0.4","51.4 +/- 0.5","57.3 +/- 0.8"
"Sex","Female","3079 (55.9)","732 (36.7)","522 (45.2)","193 (38.6)"
"Sex","Male","2303 (44.1)","1303 (63.3)","561 (54.8)","325 (61.4)"
"Race/ethnicity","Mexican American","695 (7.1)","395 (12.5)","89 (4.3)","62 (7.5)"
"Race/ethnicity","Non-Hispanic Black","883 (8.2)","489 (14.2)","241 (9.9)","173 (19.9)"
"Race/ethnicity","Non-Hispanic White","2602 (72.9)","736 (59.6)","541 (75.2)","197 (61.6)"
"Race/ethnicity","Other Hispanic","539 (5.2)","197 (5.8)","82 (3.7)","34 (3.7)"
"Race/ethnicity","Other race/multiracial","663 (6.6)","218 (8.0)","130 (6.9)","52 (7.4)"
"Education","<High school","942 (11.2)","708 (27.5)","184 (9.9)","172 (25.2)"
"Education","High school/GED","1029 (18.0)","543 (27.9)","225 (20.8)","147 (30.3)"
"Education","Some college","1592 (29.8)","479 (26.6)","364 (35.0)","137 (32.6)"
"Education","College graduate","1819 (41.0)","305 (18.0)","310 (34.2)","62 (11.9)"
"Poverty-income ratio","Weighted mean +/- SE","3.4 +/- 0.1","2.5 +/- 0.1","3.3 +/- 0.1","2.6 +/- 0.1"
"Body mass index, kg/m2","Weighted mean +/- SE","28.4 +/- 0.1","28.7 +/- 0.2","33.0 +/- 0.3","31.4 +/- 0.4"
"Smoking status","Never","3296 (60.8)","867 (39.2)","635 (58.8)","228 (43.0)"
"Smoking status","Former","1256 (25.2)","550 (28.3)","301 (27.2)","168 (33.1)"
"Smoking status","Current","830 (14.0)","618 (32.4)","147 (14.0)","122 (23.8)"
"Serum cotinine, ng/mL","Weighted median [IQR]","0.0 [0.0-0.2]","0.1 [0.0-202.0]","0.0 [0.0-0.4]","0.1 [0.0-177.0]"
"Serum uric acid, mg/dL","Weighted mean +/- SE","5.0 +/- 0.0","5.1 +/- 0.0","7.5 +/- 0.0","7.6 +/- 0.1"
"Diabetes","Yes","629 (9.1)","437 (17.9)","234 (17.2)","136 (19.4)"
"Hypertension","Yes","2506 (44.5)","1270 (59.3)","778 (70.5)","427 (80.5)"
"Cardiovascular disease","Yes","287 (4.5)","246 (11.2)","124 (9.4)","97 (17.3)"
"eGFR, mL/min/1.73m2","Weighted mean +/- SE","95.9 +/- 0.3","93.0 +/- 0.6","85.1 +/- 0.8","79.3 +/- 1.2"
"UACR, mg/g","Weighted median [IQR]","6.1 [4.2-10.0]","7.0 [4.6-13.8]","6.3 [4.2-12.9]","8.8 [4.8-21.0]"
"CKD","Yes","558 (8.4)","357 (14.3)","285 (20.7)","192 (34.3)"
"Gout","Yes","125 (2.4)","82 (4.1)","101 (8.9)","58 (9.7)"
"Urate-lowering therapy","Yes","57 (1.2)","26 (1.4)","15 (1.2)","11 (2.0)"
"Diuretic use","Yes","463 (7.9)","254 (11.8)","311 (26.5)","193 (33.8)"
"Follow-up time, years","Weighted median [IQR]","7.8 [6.2-9.4]","7.8 [6.2-9.2]","7.8 [6.2-9.2]","7.8 [5.5-9.2]"
"All-cause deaths","","284","245","114","100"
