"section","item","denominator","missing_n","missing_percent","included_n","excluded_n","included_value","excluded_value","source"
"denominator","Downloaded and merged NHANES 2009-2014 public-use files",30468,,,,0,,,"v20 public raw exclusion flow"
"denominator","Age >=30 years",14556,,,,15912,,,"v20 public raw exclusion flow"
"denominator","Mortality linkage eligible",14521,,,,35,,,"v20 public raw exclusion flow"
"denominator","Dentate adults",11410,,,,3111,,,"v20 public raw exclusion flow"
"denominator","Complete periodontal examination data",10715,,,,695,,,"v20 public raw exclusion flow"
"denominator","CDC/AAP periodontitis computable",10715,,,,0,,,"v20 public raw exclusion flow"
"denominator","Serum uric acid available",10188,,,,527,,,"v20 public raw exclusion flow"
"denominator","MORTSTAT and PERMTH_EXM available",10188,,,,0,,,"v20 public raw exclusion flow"
"denominator","Core covariates complete",9069,,,,1119,,,"v20 public raw exclusion flow"
"denominator","Final Model 4 complete cases",9018,,,,51,,,"v20 public raw exclusion flow"
"missingness","age",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","sex",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","race_ethnicity",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","education",10188,13,0.127601099332548,,,,,"v20 public raw candidate denominator"
"missingness","PIR",10188,834,8.18610129564193,,,,,"v20 public raw candidate denominator"
"missingness","BMI",10188,63,0.618374558303887,,,,,"v20 public raw candidate denominator"
"missingness","smoking_status",10188,5,0.0490773458971339,,,,,"v20 public raw candidate denominator"
"missingness","log_cotinine",10188,8,0.0785237534354142,,,,,"v20 public raw candidate denominator"
"missingness","diabetes",10188,216,2.12014134275618,,,,,"v20 public raw candidate denominator"
"missingness","hypertension",10188,11,0.107970160973695,,,,,"v20 public raw candidate denominator"
"missingness","CVD",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","egfr",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","UACR",10188,70,0.687082842559874,,,,,"v20 public raw candidate denominator"
"missingness","CKD",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","followup_years",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","death_allcause",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","joint_urate_periodontitis",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","WTMEC6YR",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","SDMVSTRA",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","SDMVPSU",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","gout",10188,7,0.0687082842559874,,,,,"v20 public raw candidate denominator"
"missingness","urate_lowering_therapy",10188,0,0,,,,,"v20 public raw candidate denominator"
"missingness","diuretic_use",10188,0,0,,,,,"v20 public raw candidate denominator"
"included_vs_excluded","age: mean",10188,,,9018,1170,"51.76","54.18","v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","PIR: mean",10188,,,9018,336,"2.66","2.32","v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","BMI: mean",10188,,,9018,1107,"29.27","29.48","v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","sex: Female",10188,,,4526,618,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","sex: Male",10188,,,4492,552,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","race_ethnicity: Mexican American",10188,,,1241,226,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","race_ethnicity: Non-Hispanic Black",10188,,,1786,247,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","race_ethnicity: Non-Hispanic White",10188,,,4076,382,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","race_ethnicity: Other Hispanic",10188,,,852,163,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","race_ethnicity: Other race/multiracial",10188,,,1063,152,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","education: <High school",10188,,,2006,366,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","education: High school/GED",10188,,,1944,263,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","education: Some college",10188,,,2572,305,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","education: College graduate",10188,,,2496,223,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","smoking_status: Never",10188,,,5026,675,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","smoking_status: Former",10188,,,2275,284,,,"v20 public raw candidate denominator versus final public raw-only cohort"
"included_vs_excluded","smoking_status: Current",10188,,,1717,206,,,"v20 public raw candidate denominator versus final public raw-only cohort"
